application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,root,Income,Age
42,Female,TRUE,3.41,Business,,600,7,Nonprofit/Gov,Admit,600,600000,60
43,Male,FALSE,3.38,Humanities,Asian,720,5,Consulting,,720,720000,72
44,Female,FALSE,2.93,Humanities,Other,590,4,Consulting,Admit,590,590000,59
45,Male,FALSE,3.27,STEM,Other,650,5,Consulting,,650,650000,65
46,Male,FALSE,3.32,STEM,Asian,730,4,Health Care,,730,730000,73
47,Male,TRUE,3.13,Humanities,,610,5,PE/VC,,610,610000,61
48,Male,FALSE,3.33,STEM,Hispanic,720,7,Consulting,Admit,720,720000,72
49,Male,FALSE,3.23,STEM,Black,660,6,Other,,660,660000,66
50,Male,FALSE,3.38,STEM,Hispanic,680,5,Consulting,,680,680000,68
51,Male,FALSE,3.26,Business,White,670,6,Consulting,Waitlist,670,670000,67
52,Male,FALSE,3.43,Business,Asian,650,4,Nonprofit/Gov,,650,650000,65
53,Male,FALSE,3.19,Business,White,650,5,Financial Services,,650,650000,65
54,Female,FALSE,3.23,STEM,Asian,700,6,PE/VC,Admit,700,700000,70
55,Male,FALSE,2.96,STEM,Black,610,6,Consulting,,610,610000,61
56,Female,FALSE,3.44,STEM,Black,680,4,PE/VC,,680,680000,68
57,Male,FALSE,3.09,Business,Other,610,6,Consulting,,610,610000,61
58,Female,TRUE,3.05,Business,,650,7,Health Care,Admit,650,650000,65
59,Male,TRUE,3.01,Humanities,,660,6,Consulting,,660,660000,66
60,Male,FALSE,3.41,Humanities,White,740,4,Financial Services,,740,740000,74
61,Female,FALSE,3.27,Business,White,670,5,Consulting,Admit,670,670000,67
62,Male,FALSE,3.13,Humanities,Black,630,5,Financial Services,,630,630000,63
63,Female,TRUE,3,STEM,,640,3,Financial Services,Admit,640,640000,64
64,Male,FALSE,3.36,STEM,Black,650,5,Technology,,650,650000,65
65,Female,FALSE,3.39,Humanities,White,680,5,Investment Banking,Admit,680,680000,68
66,Male,TRUE,3.31,Business,,670,4,Nonprofit/Gov,,670,670000,67
67,Male,FALSE,3.07,STEM,Other,570,6,Other,,570,570000,57
68,Male,FALSE,3.53,STEM,White,690,5,Technology,,690,690000,69
69,Male,FALSE,3.49,Business,Black,620,4,Energy,,620,620000,62
70,Male,FALSE,3.41,Humanities,White,690,6,Technology,Admit,690,690000,69
71,Male,TRUE,3.34,STEM,,690,5,Nonprofit/Gov,,690,690000,69
72,Female,FALSE,3.33,Humanities,Hispanic,680,5,Consulting,Waitlist,680,680000,68
73,Female,TRUE,3.34,STEM,,680,5,PE/VC,Admit,680,680000,68
74,Female,TRUE,2.89,Humanities,,670,5,Consulting,Admit,670,670000,67
75,Female,TRUE,3.35,Business,,640,5,PE/VC,Admit,640,640000,64
76,Female,FALSE,3.24,Humanities,Hispanic,590,4,Nonprofit/Gov,Waitlist,590,590000,59
77,Male,FALSE,3.18,Humanities,Black,640,4,PE/VC,,640,640000,64
78,Male,TRUE,3.2,Humanities,,640,5,Nonprofit/Gov,,640,640000,64
79,Male,FALSE,3.17,Business,Hispanic,640,4,Other,,640,640000,64
80,Female,FALSE,3.1,STEM,Asian,680,4,Health Care,Admit,680,680000,68
81,Male,FALSE,2.93,Humanities,Hispanic,620,4,Technology,,620,620000,62
82,Male,TRUE,3.2,STEM,,730,4,PE/VC,,730,730000,73
83,Male,FALSE,3.52,STEM,Hispanic,610,6,Consulting,,610,610000,61
84,Female,FALSE,3.35,Humanities,White,710,6,Consulting,Admit,710,710000,71
85,Male,FALSE,3.15,STEM,Hispanic,620,4,PE/VC,,620,620000,62
86,Male,FALSE,3.21,Business,Hispanic,640,6,Nonprofit/Gov,,640,640000,64
87,Male,FALSE,3.1,Business,Hispanic,670,7,Financial Services,,670,670000,67
88,Male,FALSE,3.48,Business,White,710,5,Consulting,Admit,710,710000,71
89,Male,FALSE,3.15,Humanities,Asian,650,6,Consulting,,650,650000,65
90,Male,FALSE,3.09,Business,Other,610,6,Consulting,,610,610000,61
91,Female,FALSE,3.14,Humanities,Hispanic,660,6,Consulting,,660,660000,66
92,Male,FALSE,2.97,STEM,Asian,580,4,Consulting,,580,580000,58
93,Male,FALSE,3.17,STEM,White,670,5,PE/VC,,670,670000,67
94,Female,FALSE,3.23,Humanities,White,620,7,Nonprofit/Gov,Admit,620,620000,62
95,Female,FALSE,3.05,Humanities,White,600,5,Other,Admit,600,600000,60
96,Male,FALSE,3.32,Business,Black,670,4,Consulting,Admit,670,670000,67
97,Male,FALSE,3.08,Humanities,Asian,640,5,Technology,,640,640000,64
98,Male,TRUE,3.36,STEM,,690,5,CPG,,690,690000,69
99,Male,FALSE,3.1,Humanities,White,610,5,Health Care,,610,610000,61
100,Female,FALSE,3.38,Humanities,White,660,5,Consulting,Admit,660,660000,66
101,Male,FALSE,3.26,Humanities,Hispanic,650,6,Real Estate,,650,650000,65
102,Male,FALSE,3.2,Humanities,Hispanic,600,4,Investment Banking,,600,600000,60
103,Male,FALSE,3.65,Humanities,Black,700,6,Health Care,,700,700000,70
104,Female,TRUE,3.34,Business,,650,5,Financial Services,Admit,650,650000,65
105,Female,FALSE,3.3,Humanities,Hispanic,670,4,Nonprofit/Gov,Admit,670,670000,67
106,Male,FALSE,3.11,Business,Asian,610,6,PE/VC,,610,610000,61
107,Male,TRUE,3.08,Humanities,,740,4,Health Care,,740,740000,74
108,Male,FALSE,3.2,STEM,White,590,5,Consulting,,590,590000,59
109,Male,TRUE,3.3,STEM,,590,5,Other,,590,590000,59
110,Male,FALSE,3.21,Humanities,Black,610,4,PE/VC,,610,610000,61
111,Female,FALSE,3.26,Humanities,Black,670,6,Consulting,,670,670000,67
112,Female,FALSE,3.29,STEM,Hispanic,640,6,Investment Banking,,640,640000,64
113,Female,FALSE,3.25,Humanities,Hispanic,640,5,Other,,640,640000,64
114,Female,FALSE,3.2,Humanities,Asian,680,7,Consulting,Admit,680,680000,68
115,Female,FALSE,3.23,STEM,Asian,610,5,Nonprofit/Gov,Admit,610,610000,61
116,Male,FALSE,3.32,Humanities,Hispanic,670,4,Media/Entertainment,,670,670000,67
117,Female,FALSE,3.46,STEM,White,660,5,Consulting,Admit,660,660000,66
118,Female,FALSE,3.29,Humanities,Black,610,4,Consulting,,610,610000,61
119,Male,FALSE,3.33,Humanities,White,680,4,Financial Services,Admit,680,680000,68
120,Female,TRUE,2.99,Humanities,,570,6,Real Estate,Admit,570,570000,57
121,Male,FALSE,3.22,Business,Black,610,5,Technology,,610,610000,61
122,Female,TRUE,3.29,Business,,710,4,Consulting,Admit,710,710000,71
123,Male,TRUE,3.26,Humanities,,650,4,PE/VC,,650,650000,65
124,Male,FALSE,3.25,Humanities,Asian,620,6,Technology,,620,620000,62
125,Male,TRUE,3.32,STEM,,630,6,Technology,,630,630000,63
126,Male,FALSE,3.44,Business,White,740,6,PE/VC,,740,740000,74
127,Male,TRUE,3.4,Humanities,,730,5,Nonprofit/Gov,,730,730000,73
128,Female,FALSE,3.51,Humanities,Black,700,7,Nonprofit/Gov,,700,700000,70
129,Female,FALSE,3.43,Humanities,Black,710,7,Other,,710,710000,71
130,Female,FALSE,3.27,Business,White,660,6,Other,Admit,660,660000,66
131,Male,FALSE,3.34,Humanities,White,700,4,Consulting,Admit,700,700000,70
132,Male,FALSE,3.07,Humanities,Other,640,6,Other,,640,640000,64
133,Male,TRUE,3.36,Humanities,,670,2,PE/VC,,670,670000,67
134,Male,FALSE,3.21,Humanities,White,690,7,Real Estate,,690,690000,69
135,Female,FALSE,3.28,Humanities,White,610,6,Consulting,Admit,610,610000,61
136,Female,FALSE,3.06,Business,Black,650,5,Consulting,,650,650000,65
137,Male,FALSE,3.32,Business,White,670,4,Financial Services,,670,670000,67
138,Male,TRUE,3.33,Humanities,,670,5,Consulting,,670,670000,67
139,Female,FALSE,3.31,STEM,Asian,600,5,Investment Banking,Admit,600,600000,60
140,Male,FALSE,3.16,STEM,Hispanic,570,5,Technology,,570,570000,57
141,Male,FALSE,3.2,STEM,Asian,600,6,Consulting,,600,600000,60
142,Male,TRUE,3.17,STEM,,600,4,Investment Banking,,600,600000,60
143,Female,TRUE,3.48,STEM,,780,5,PE/VC,Admit,780,780000,78
144,Male,FALSE,3.1,STEM,Asian,570,5,Nonprofit/Gov,,570,570000,57
145,Male,FALSE,2.95,Business,Asian,590,5,Investment Management,,590,590000,59
146,Male,FALSE,3.32,Humanities,White,570,6,Technology,,570,570000,57
147,Male,FALSE,3.24,Humanities,Black,660,7,Investment Management,,660,660000,66
148,Female,FALSE,3.21,STEM,Black,580,6,Financial Services,,580,580000,58
149,Male,FALSE,3.32,Humanities,Asian,660,4,Investment Banking,,660,660000,66
150,Male,FALSE,3.2,Humanities,Hispanic,630,6,Technology,,630,630000,63
151,Male,FALSE,3.37,Business,Asian,710,5,Technology,Admit,710,710000,71
152,Male,FALSE,3.14,Humanities,Asian,620,5,Technology,,620,620000,62
153,Female,TRUE,3.32,Humanities,,650,5,Real Estate,Admit,650,650000,65
154,Female,TRUE,3.13,Business,,580,4,Consulting,Admit,580,580000,58
155,Female,FALSE,3.55,Humanities,Asian,680,6,PE/VC,Admit,680,680000,68
156,Male,FALSE,3.22,STEM,White,620,5,PE/VC,,620,620000,62
157,Male,TRUE,3.42,STEM,,630,6,Financial Services,,630,630000,63
158,Female,FALSE,3.18,STEM,Asian,650,6,Nonprofit/Gov,Admit,650,650000,65
159,Male,TRUE,3.14,STEM,,620,6,Nonprofit/Gov,,620,620000,62
160,Male,TRUE,3.24,Humanities,,680,7,PE/VC,,680,680000,68
161,Male,FALSE,3.3,Business,White,630,3,PE/VC,,630,630000,63
162,Female,FALSE,3.2,STEM,White,610,4,Consulting,Admit,610,610000,61
163,Male,FALSE,3.41,Humanities,Black,710,4,PE/VC,,710,710000,71
164,Male,TRUE,3.03,STEM,,570,5,Consulting,,570,570000,57
165,Male,FALSE,3.3,Humanities,Asian,640,9,Consulting,,640,640000,64
166,Female,FALSE,3.17,STEM,White,600,4,Nonprofit/Gov,Admit,600,600000,60
167,Female,FALSE,3.43,Business,White,680,3,Consulting,Admit,680,680000,68
168,Male,FALSE,3.36,STEM,Black,700,5,PE/VC,Admit,700,700000,70
169,Female,TRUE,3.15,STEM,,650,5,Investment Banking,Admit,650,650000,65
170,Female,FALSE,3.23,Business,Black,680,6,Health Care,Admit,680,680000,68
171,Female,FALSE,3.36,Humanities,Asian,710,4,CPG,Admit,710,710000,71
172,Male,FALSE,3,STEM,Asian,570,6,Financial Services,,570,570000,57
173,Male,FALSE,3.25,Humanities,Asian,640,7,PE/VC,,640,640000,64
174,Male,FALSE,3.15,Humanities,Hispanic,620,3,PE/VC,,620,620000,62
175,Female,TRUE,3.17,STEM,,630,6,Nonprofit/Gov,Admit,630,630000,63
176,Male,FALSE,2.97,STEM,Asian,610,6,Technology,,610,610000,61
177,Female,FALSE,3.25,Humanities,White,670,5,Consulting,Admit,670,670000,67
178,Male,FALSE,3.33,Humanities,Other,640,3,Other,,640,640000,64
179,Male,FALSE,3.43,Business,Asian,680,3,Consulting,,680,680000,68
180,Male,TRUE,3.17,Humanities,,670,4,Technology,,670,670000,67
181,Male,TRUE,3.4,Business,,750,4,Nonprofit/Gov,,750,750000,75
182,Male,FALSE,3.24,STEM,Black,600,5,Investment Management,,600,600000,60
183,Male,FALSE,3.34,Humanities,White,700,5,Consulting,Admit,700,700000,70
184,Male,TRUE,3.29,Humanities,,660,6,Energy,,660,660000,66
185,Male,TRUE,3.04,Business,,660,6,Nonprofit/Gov,,660,660000,66
186,Male,TRUE,3.4,Humanities,,690,6,Other,Admit,690,690000,69
187,Male,TRUE,3.01,Humanities,,670,6,Technology,,670,670000,67
188,Male,FALSE,3.54,STEM,Hispanic,700,5,Other,,700,700000,70
189,Male,FALSE,3.23,STEM,White,710,6,PE/VC,,710,710000,71
190,Male,TRUE,3.15,Humanities,,650,6,Consulting,,650,650000,65
191,Female,FALSE,3.32,Humanities,White,730,5,Nonprofit/Gov,Admit,730,730000,73
192,Male,FALSE,3.47,Business,Asian,690,7,Investment Management,,690,690000,69
193,Female,FALSE,3.29,Business,Black,590,3,Real Estate,,590,590000,59
194,Male,FALSE,3.2,STEM,Asian,690,5,Energy,,690,690000,69
195,Female,TRUE,3.48,Humanities,,670,5,Financial Services,Admit,670,670000,67
196,Female,FALSE,3.14,Business,White,600,3,Nonprofit/Gov,Admit,600,600000,60
197,Male,TRUE,3.45,Humanities,,620,5,Consulting,,620,620000,62
198,Male,FALSE,3.31,STEM,Hispanic,620,3,PE/VC,,620,620000,62
199,Female,FALSE,3.6,Humanities,Other,670,5,Consulting,Admit,670,670000,67
200,Male,FALSE,3.5,STEM,Hispanic,700,6,Investment Management,Admit,700,700000,70
201,Male,FALSE,3.61,Business,Hispanic,690,5,Technology,,690,690000,69
202,Male,FALSE,3.11,STEM,Black,650,5,Financial Services,,650,650000,65
203,Male,TRUE,3.1,Humanities,,580,6,Consulting,,580,580000,58
204,Male,TRUE,3.06,STEM,,620,6,Nonprofit/Gov,,620,620000,62
205,Male,TRUE,3.18,Business,,630,3,Nonprofit/Gov,,630,630000,63
206,Male,FALSE,3.05,Humanities,White,570,8,Consulting,,570,570000,57
207,Male,FALSE,3.45,Humanities,Other,700,6,Consulting,Admit,700,700000,70
208,Female,TRUE,3.26,Business,,630,6,Consulting,Admit,630,630000,63
209,Male,FALSE,3.35,Business,White,660,5,Consulting,Admit,660,660000,66
210,Female,FALSE,3.23,Business,White,670,5,Nonprofit/Gov,Admit,670,670000,67
211,Male,TRUE,3.11,Business,,640,4,Nonprofit/Gov,,640,640000,64
212,Female,FALSE,3.44,Business,White,750,5,Technology,Admit,750,750000,75
213,Female,FALSE,3.14,Humanities,Black,580,5,Technology,,580,580000,58
214,Female,FALSE,3.24,Business,White,660,6,Technology,Admit,660,660000,66
215,Male,TRUE,3.43,Humanities,,610,5,Technology,,610,610000,61
216,Male,FALSE,3.27,STEM,Asian,600,5,PE/VC,,600,600000,60
217,Male,FALSE,3.41,Humanities,Asian,670,5,Consulting,,670,670000,67
218,Female,FALSE,3.02,Humanities,Asian,570,4,Consulting,Admit,570,570000,57
219,Male,FALSE,3.24,STEM,White,670,3,Consulting,,670,670000,67
220,Male,FALSE,3.23,STEM,Black,630,5,Technology,,630,630000,63
221,Male,FALSE,3.09,Humanities,Asian,690,5,Other,,690,690000,69
222,Male,FALSE,3.64,STEM,Black,680,4,PE/VC,,680,680000,68
223,Male,FALSE,3.71,STEM,White,720,6,Other,,720,720000,72
224,Female,FALSE,3.19,Business,Asian,630,5,Investment Banking,Admit,630,630000,63
225,Female,FALSE,3.24,STEM,Asian,670,4,Consulting,Admit,670,670000,67
226,Male,FALSE,3.01,Humanities,Asian,610,4,PE/VC,,610,610000,61
227,Male,FALSE,3.4,Business,Asian,630,4,Consulting,,630,630000,63
228,Female,FALSE,3.18,Humanities,Black,650,5,Consulting,,650,650000,65
229,Male,TRUE,3.39,Humanities,,650,6,Other,,650,650000,65
230,Female,FALSE,3.06,STEM,Hispanic,640,6,Nonprofit/Gov,,640,640000,64
231,Male,TRUE,3.01,Business,,610,6,Technology,,610,610000,61
232,Male,FALSE,3.34,Business,Asian,590,5,PE/VC,,590,590000,59
233,Male,TRUE,3.34,STEM,,680,8,Technology,,680,680000,68
234,Male,TRUE,3.33,STEM,,720,5,Nonprofit/Gov,Admit,720,720000,72
235,Male,FALSE,3.4,STEM,Black,680,4,Other,,680,680000,68
236,Male,FALSE,3.02,STEM,Black,590,5,Consulting,,590,590000,59
237,Male,FALSE,3.49,Humanities,White,720,3,Consulting,,720,720000,72
238,Male,FALSE,3.45,Humanities,White,710,4,PE/VC,,710,710000,71
239,Male,FALSE,3.33,Humanities,White,660,5,Media/Entertainment,,660,660000,66
240,Female,FALSE,3.27,Humanities,Black,680,5,Health Care,,680,680000,68
241,Female,FALSE,3.15,Business,White,620,6,Technology,Admit,620,620000,62
242,Female,FALSE,3.11,STEM,Asian,620,4,Financial Services,Admit,620,620000,62
243,Male,TRUE,3.15,Humanities,,590,5,Investment Management,,590,590000,59
244,Male,FALSE,3.11,Business,Asian,600,7,PE/VC,,600,600000,60
245,Male,FALSE,3.17,Business,Asian,640,6,Other,,640,640000,64
246,Female,FALSE,3.02,STEM,Asian,570,5,Other,Admit,570,570000,57
247,Male,TRUE,3.04,STEM,,630,5,Other,,630,630000,63
248,Male,FALSE,3.22,STEM,White,650,5,PE/VC,,650,650000,65
249,Male,TRUE,3.77,STEM,,780,5,Consulting,,780,780000,78
250,Female,FALSE,3.31,Business,Hispanic,590,5,Nonprofit/Gov,,590,590000,59
251,Male,FALSE,3.3,Humanities,Asian,660,4,Investment Banking,,660,660000,66
252,Male,FALSE,3.26,Humanities,White,690,4,Nonprofit/Gov,,690,690000,69
253,Male,FALSE,3.1,Humanities,White,570,5,Financial Services,,570,570000,57
254,Female,FALSE,3.61,Humanities,Black,740,6,Health Care,Admit,740,740000,74
255,Female,FALSE,3.33,Business,Black,620,5,Consulting,,620,620000,62
256,Male,TRUE,3.28,Humanities,,750,3,Nonprofit/Gov,,750,750000,75
257,Female,FALSE,3.47,STEM,Black,730,4,Technology,,730,730000,73
258,Male,TRUE,3.27,Humanities,,640,4,Investment Banking,,640,640000,64
259,Male,FALSE,3.33,STEM,Black,670,3,Technology,,670,670000,67
260,Female,FALSE,3.28,Humanities,Black,650,5,PE/VC,,650,650000,65
261,Male,TRUE,3.32,Humanities,,750,4,Consulting,,750,750000,75
262,Male,FALSE,3.1,Business,Black,620,6,Consulting,,620,620000,62
263,Male,FALSE,3.21,Business,White,630,6,Investment Management,,630,630000,63
264,Male,FALSE,3.12,Humanities,Hispanic,620,4,PE/VC,,620,620000,62
265,Male,TRUE,3.05,Humanities,,600,5,Technology,,600,600000,60
266,Male,FALSE,3.31,Humanities,White,620,5,Nonprofit/Gov,,620,620000,62
267,Male,FALSE,3.28,STEM,White,600,5,Consulting,,600,600000,60
268,Male,FALSE,2.95,Humanities,Hispanic,600,5,Nonprofit/Gov,,600,600000,60
269,Female,FALSE,3.19,STEM,Hispanic,690,4,PE/VC,,690,690000,69
270,Female,TRUE,3.34,Humanities,,670,5,Nonprofit/Gov,Admit,670,670000,67
271,Female,TRUE,3.34,Business,,620,4,Consulting,Admit,620,620000,62
272,Male,FALSE,3.43,Humanities,Other,680,5,Other,,680,680000,68
273,Female,FALSE,3.23,Humanities,Other,670,6,Investment Banking,Admit,670,670000,67
274,Male,FALSE,3.31,STEM,Asian,650,4,Investment Banking,,650,650000,65
275,Male,TRUE,3.3,STEM,,650,5,Technology,,650,650000,65
276,Female,FALSE,3.05,Humanities,Asian,630,5,Consulting,Admit,630,630000,63
277,Male,FALSE,3.52,Humanities,White,770,3,Investment Banking,,770,770000,77
278,Female,FALSE,3.15,Business,Black,570,5,Financial Services,,570,570000,57
279,Female,FALSE,3.11,Business,Black,660,6,Technology,,660,660000,66
280,Male,FALSE,3.05,Business,Asian,610,5,PE/VC,,610,610000,61
281,Male,TRUE,3.04,Business,,570,5,PE/VC,,570,570000,57
282,Male,FALSE,3.3,Business,White,650,6,Technology,,650,650000,65
283,Male,FALSE,3.58,Business,White,740,4,Investment Banking,Admit,740,740000,74
284,Female,FALSE,2.97,Humanities,Asian,590,4,Nonprofit/Gov,Admit,590,590000,59
285,Male,FALSE,3.29,STEM,Black,630,5,PE/VC,,630,630000,63
286,Female,FALSE,3.49,Business,Asian,780,6,PE/VC,Admit,780,780000,78
287,Female,TRUE,3.33,STEM,,640,7,Consulting,Admit,640,640000,64
288,Male,FALSE,3.14,Business,Hispanic,580,2,PE/VC,,580,580000,58
289,Male,FALSE,3.42,STEM,Asian,750,3,Media/Entertainment,Admit,750,750000,75
290,Male,TRUE,3.18,STEM,,600,4,Technology,,600,600000,60
291,Male,FALSE,2.98,Business,Asian,630,7,Nonprofit/Gov,,630,630000,63
292,Female,TRUE,2.99,Humanities,,630,6,Nonprofit/Gov,Admit,630,630000,63
293,Male,FALSE,3.1,Business,White,600,7,Nonprofit/Gov,,600,600000,60
294,Female,FALSE,3.35,Business,Asian,670,5,Technology,Admit,670,670000,67
295,Male,FALSE,2.95,Humanities,Asian,570,4,Consulting,,570,570000,57
296,Male,FALSE,3.16,Business,Asian,580,5,Consulting,,580,580000,58
297,Female,TRUE,3.34,Humanities,,570,5,Consulting,Admit,570,570000,57
298,Male,FALSE,3.14,Business,Black,660,5,Financial Services,,660,660000,66
299,Male,FALSE,3.1,STEM,Asian,630,4,PE/VC,,630,630000,63
300,Male,FALSE,3.21,Humanities,White,660,3,Nonprofit/Gov,,660,660000,66
301,Male,FALSE,3.37,Business,Hispanic,690,5,Nonprofit/Gov,,690,690000,69
302,Male,FALSE,3.36,Business,Asian,720,4,Technology,Admit,720,720000,72
303,Male,FALSE,3.2,Humanities,Hispanic,650,6,Technology,,650,650000,65
304,Female,FALSE,3.15,Business,Black,620,6,Consulting,,620,620000,62
305,Male,FALSE,3.53,STEM,Asian,660,5,Investment Banking,Admit,660,660000,66
306,Female,FALSE,3.24,Humanities,Hispanic,660,6,Consulting,,660,660000,66
307,Female,FALSE,3.25,Humanities,Asian,710,6,Technology,Admit,710,710000,71
308,Female,FALSE,3.34,Humanities,Asian,760,4,PE/VC,Admit,760,760000,76
309,Male,FALSE,3.16,STEM,Asian,650,5,Health Care,,650,650000,65
310,Male,FALSE,3.4,STEM,White,630,5,Investment Banking,,630,630000,63
311,Male,FALSE,3.49,Business,Other,700,5,Investment Management,Admit,700,700000,70
312,Male,FALSE,3.17,Humanities,Hispanic,670,2,Investment Banking,,670,670000,67
313,Male,FALSE,3.3,Business,White,650,4,PE/VC,,650,650000,65
314,Female,FALSE,3.25,Humanities,Asian,580,5,Consulting,Admit,580,580000,58
315,Male,FALSE,3.33,Business,White,580,5,Consulting,,580,580000,58
316,Female,FALSE,3.29,Humanities,Asian,700,4,Investment Management,Admit,700,700000,70
317,Male,FALSE,3.32,Humanities,White,700,6,PE/VC,,700,700000,70
318,Female,TRUE,3.33,STEM,,680,4,Health Care,Admit,680,680000,68
319,Female,FALSE,3.32,Humanities,White,630,5,Consulting,Admit,630,630000,63
320,Male,FALSE,3.03,Humanities,Asian,590,4,Consulting,,590,590000,59
321,Male,FALSE,3.44,Business,Black,650,6,Investment Banking,,650,650000,65
322,Female,TRUE,3.24,STEM,,610,5,Other,Admit,610,610000,61
323,Female,FALSE,3.36,Humanities,Black,650,6,Technology,,650,650000,65
324,Female,TRUE,3.14,Humanities,,580,5,Nonprofit/Gov,Admit,580,580000,58
325,Male,FALSE,3.2,STEM,Asian,710,4,Other,,710,710000,71
326,Male,FALSE,3.1,Humanities,Hispanic,570,5,Health Care,,570,570000,57
327,Male,FALSE,3.37,Humanities,White,660,4,Consulting,,660,660000,66
328,Male,TRUE,3.31,Humanities,,610,6,Technology,,610,610000,61
329,Male,FALSE,3.34,STEM,White,750,6,Other,,750,750000,75
330,Male,FALSE,3.38,Business,Asian,570,4,Other,,570,570000,57
331,Female,FALSE,3.32,Humanities,Hispanic,600,5,Financial Services,,600,600000,60
332,Male,TRUE,3.33,Business,,670,5,Consulting,Admit,670,670000,67
333,Male,FALSE,3.23,STEM,White,600,5,Other,,600,600000,60
334,Male,TRUE,3.06,STEM,,630,5,Financial Services,,630,630000,63
335,Male,TRUE,3.01,Business,,570,7,Real Estate,,570,570000,57
336,Female,FALSE,3.21,Humanities,White,700,6,PE/VC,Admit,700,700000,70
337,Male,FALSE,3.5,Humanities,Asian,670,5,Nonprofit/Gov,,670,670000,67
338,Female,TRUE,3.29,Humanities,,690,4,Financial Services,Admit,690,690000,69
339,Male,TRUE,3.2,Business,,650,5,Consulting,,650,650000,65
340,Male,TRUE,3.11,Humanities,,600,5,Consulting,,600,600000,60
341,Female,FALSE,3.1,Business,Other,620,6,Real Estate,Admit,620,620000,62
342,Male,FALSE,3.39,Business,White,730,6,Investment Banking,,730,730000,73
343,Male,TRUE,3.28,Business,,660,4,Technology,,660,660000,66
344,Female,FALSE,3.18,STEM,White,590,6,Nonprofit/Gov,Admit,590,590000,59
345,Female,FALSE,2.96,Humanities,White,580,7,Financial Services,Admit,580,580000,58
346,Male,TRUE,3.58,STEM,,710,5,Investment Banking,Admit,710,710000,71
347,Female,FALSE,3.35,STEM,White,700,5,Technology,Admit,700,700000,70
348,Male,FALSE,3.16,STEM,Black,650,5,Technology,,650,650000,65
349,Male,FALSE,3.1,STEM,White,620,4,Other,,620,620000,62
